a1_inner_candidate_name,a1_inner_candidate_status,a1_inner_green_identity_status,a1_inner_green_identity_validity_status,a1_inner_changed_eq23_terms,a1_inner_hypothesis,geometry_name,potential_name,panel_count,semiaxis_y_m,semiaxis_z_m,inner_a_scale,inner_b_scale,inner_diagonal_sign,residual_norm,relative_residual,max_abs_residual,phi_norm,phi_n_norm,a_phi_norm,b_phi_n_norm,relative_tolerance,diagnostic_status,gate_role,is_hard_gate
reverse_b_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Reverse the Eq. (23) log-potential operator sign.,closed_ellipse,quadratic_y2_minus_z2,64,1.0,0.5,1.0,-1.0,-1.0,35.631310740915104,1.9823068976906477,8.691811585947605,4.992721600686261,11.730582596762002,17.97466920103287,17.656948717778818,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
raw_eq25_default,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,,Use A1 Eq. (25) raw log kernels and Eq. (23) alpha=1 self term -pi.,closed_ellipse,cross_yz,64,1.0,0.5,1.0,1.0,-1.0,0.28308953281805477,0.031072623755673,0.06890202604882267,3.802668219615568,5.522866331768319,9.110577048272933,8.843943067757191,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_and_b_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Bij;Eq.23 self term,Apply the simple-Green 1/(2*pi) normalization to all Eq. (23) A/B kernels.,closed_ellipse,cross_yz,64,1.0,0.5,0.15915494309189535,0.15915494309189535,-1.0,0.04505509848556881,0.011848285436304425,0.010966098034716765,3.802668219615568,5.522866331768319,1.4499933716522069,1.4075572556568579,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Only the normal-derivative Aij block was accidentally normalized by 1/(2*pi).,closed_ellipse,cross_yz,64,1.0,0.5,0.15915494309189535,1.0,-1.0,7.394047053189942,0.8360577399177062,1.5718805099740263,3.802668219615568,5.522866331768319,1.4499933716522069,8.843943067757191,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_b_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Only the potential Bij block was accidentally normalized by 1/(2*pi).,closed_ellipse,cross_yz,64,1.0,0.5,1.0,0.15915494309189535,-1.0,7.703113243467922,0.8455132098277112,1.6311225060418206,3.802668219615568,5.522866331768319,9.110577048272933,1.4075572556568579,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
positive_eq23_self_term,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Eq.23 self term,"Use +pi instead of -pi for Eq. (23), as if alpha were interpreted like Eq. (24).",closed_ellipse,cross_yz,64,1.0,0.5,1.0,1.0,1.0,23.623012825937906,1.5674396276520979,4.70000826627282,3.802668219615568,5.522866331768319,15.071083063864688,8.843943067757191,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_a_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Reverse the Eq. (23) normal-derivative operator sign.,closed_ellipse,cross_yz,64,1.0,0.5,-1.0,1.0,-1.0,17.954268199871162,1.9707059283664916,3.8092666296852604,3.802668219615568,5.522866331768319,9.110577048272933,8.843943067757191,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_b_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Reverse the Eq. (23) log-potential operator sign.,closed_ellipse,cross_yz,64,1.0,0.5,1.0,-1.0,-1.0,17.954268199871162,1.9707059283664916,3.8092666296852604,3.802668219615568,5.522866331768319,9.110577048272933,8.843943067757191,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
raw_eq25_default,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,,Use A1 Eq. (25) raw log kernels and Eq. (23) alpha=1 self term -pi.,closed_ellipse,linear_y,128,1.0,0.5,1.0,1.0,-1.0,0.2998093592094024,0.01762500293628191,0.05190248804068398,7.997590549569633,6.531972647421807,17.010457263086778,16.72503885494862,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_and_b_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Bij;Eq.23 self term,Apply the simple-Green 1/(2*pi) normalization to all Eq. (23) A/B kernels.,closed_ellipse,linear_y,128,1.0,0.5,0.15915494309189535,0.15915494309189535,-1.0,0.04771614150338988,0.005966314630342958,0.008260537530442646,7.997590549569633,6.531972647421807,2.7072983576736935,2.6618726071690864,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Only the normal-derivative Aij block was accidentally normalized by 1/(2*pi).,closed_ellipse,linear_y,128,1.0,0.5,0.15915494309189535,1.0,-1.0,14.01778830805174,0.8381318829584747,1.7491057980987492,7.997590549569633,6.531972647421807,2.7072983576736935,16.72503885494862,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_b_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Only the potential Bij block was accidentally normalized by 1/(2*pi).,closed_ellipse,linear_y,128,1.0,0.5,1.0,0.15915494309189535,-1.0,14.348631364295592,0.8435182630529615,1.809268823669875,7.997590549569633,6.531972647421807,17.010457263086778,2.6618726071690864,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
positive_eq23_self_term,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Eq.23 self term,"Use +pi instead of -pi for Eq. (23), as if alpha were interpreted like Eq. (24).",closed_ellipse,linear_y,128,1.0,0.5,1.0,1.0,1.0,49.96526251954438,1.5031546777416167,6.227498633202148,7.997590549569633,6.531972647421807,33.240266793177696,16.72503885494862,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_a_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Reverse the Eq. (23) normal-derivative operator sign.,closed_ellipse,linear_y,128,1.0,0.5,-1.0,1.0,-1.0,33.73537129402633,1.983213665116054,4.231902884525747,7.997590549569633,6.531972647421807,17.010457263086778,16.72503885494862,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_b_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Reverse the Eq. (23) log-potential operator sign.,closed_ellipse,linear_y,128,1.0,0.5,1.0,-1.0,-1.0,33.73537129402633,1.983213665116054,4.231902884525747,7.997590549569633,6.531972647421807,17.010457263086778,16.72503885494862,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
raw_eq25_default,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,,Use A1 Eq. (25) raw log kernels and Eq. (23) alpha=1 self term -pi.,closed_ellipse,linear_z,128,1.0,0.5,1.0,1.0,-1.0,0.22588262619485416,0.013431412075792359,0.032836671250746186,8.123445306619685,9.237604307034013,16.81748910093868,16.696599038255787,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_and_b_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Bij;Eq.23 self term,Apply the simple-Green 1/(2*pi) normalization to all Eq. (23) A/B kernels.,closed_ellipse,linear_z,128,1.0,0.5,0.15915494309189535,0.15915494309189535,-1.0,0.03595033651749,0.004425503608449799,0.00522611854423978,8.123445306619685,9.237604307034013,2.676586520808466,2.657346269761794,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Only the normal-derivative Aij block was accidentally normalized by 1/(2*pi).,closed_ellipse,linear_z,128,1.0,0.5,0.15915494309189535,1.0,-1.0,14.020219170563978,0.8397050883500525,1.7534791128997393,8.123445306619685,9.237604307034013,2.676586520808466,16.696599038255787,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_b_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Only the potential Bij block was accidentally normalized by 1/(2*pi).,closed_ellipse,linear_z,128,1.0,0.5,1.0,0.15915494309189535,-1.0,14.160347439261516,0.8420012853447395,1.7745873476530674,8.123445306619685,9.237604307034013,16.81748910093868,2.657346269761794,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
positive_eq23_self_term,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Eq.23 self term,"Use +pi instead of -pi for Eq. (23), as if alpha were interpreted like Eq. (24).",closed_ellipse,linear_z,128,1.0,0.5,1.0,1.0,1.0,50.83501035360524,1.128840676321326,7.046482080960699,8.123445306619685,9.237604307034013,45.03293637439319,16.696599038255787,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_a_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Reverse the Eq. (23) normal-derivative operator sign.,closed_ellipse,linear_z,128,1.0,0.5,-1.0,1.0,-1.0,33.51354495197627,1.9927793471919473,4.193101880345083,8.123445306619685,9.237604307034013,16.81748910093868,16.696599038255787,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_b_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Reverse the Eq. (23) log-potential operator sign.,closed_ellipse,linear_z,128,1.0,0.5,1.0,-1.0,-1.0,33.51354495197627,1.9927793471919473,4.193101880345083,8.123445306619685,9.237604307034013,16.81748910093868,16.696599038255787,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
raw_eq25_default,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,,Use A1 Eq. (25) raw log kernels and Eq. (23) alpha=1 self term -pi.,closed_ellipse,quadratic_y2_minus_z2,128,1.0,0.5,1.0,1.0,-1.0,0.2523216249205365,0.009971225520732055,0.038868996917234444,7.070148415202608,16.59728589583018,25.304976243483043,25.07598734144895,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_and_b_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Bij;Eq.23 self term,Apply the simple-Green 1/(2*pi) normalization to all Eq. (23) A/B kernels.,closed_ellipse,quadratic_y2_minus_z2,128,1.0,0.5,0.15915494309189535,0.15915494309189535,-1.0,0.04015823385508259,0.005679970418829147,0.006186192992401474,7.070148415202608,16.59728589583018,4.027412053973308,3.990967338301396,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Only the normal-derivative Aij block was accidentally normalized by 1/(2*pi).,closed_ellipse,quadratic_y2_minus_z2,128,1.0,0.5,0.15915494309189535,1.0,-1.0,21.048617745303943,0.839393378960276,3.647321143533933,7.070148415202608,16.59728589583018,4.027412053973308,25.07598734144895,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_b_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Only the potential Bij block was accidentally normalized by 1/(2*pi).,closed_ellipse,quadratic_y2_minus_z2,128,1.0,0.5,1.0,0.15915494309189535,-1.0,21.314050834263206,0.8422869331779101,3.6829088691964964,7.070148415202608,16.59728589583018,25.304976243483043,3.990967338301396,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
positive_eq23_self_term,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Eq.23 self term,"Use +pi instead of -pi for Eq. (23), as if alpha were interpreted like Eq. (24).",closed_ellipse,quadratic_y2_minus_z2,128,1.0,0.5,1.0,1.0,1.0,44.18585796011667,1.7620784920033983,7.913416418405539,7.070148415202608,16.59728589583018,20.220355996718354,25.07598734144895,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_a_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Reverse the Eq. (23) normal-derivative operator sign.,closed_ellipse,quadratic_y2_minus_z2,128,1.0,0.5,-1.0,1.0,-1.0,50.38085213115292,1.9909464307095657,8.717694125103888,7.070148415202608,16.59728589583018,25.304976243483043,25.07598734144895,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_b_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Reverse the Eq. (23) log-potential operator sign.,closed_ellipse,quadratic_y2_minus_z2,128,1.0,0.5,1.0,-1.0,-1.0,50.38085213115292,1.9909464307095657,8.717694125103888,7.070148415202608,16.59728589583018,25.304976243483043,25.07598734144895,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
raw_eq25_default,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,,Use A1 Eq. (25) raw log kernels and Eq. (23) alpha=1 self term -pi.,closed_ellipse,cross_yz,128,1.0,0.5,1.0,1.0,-1.0,0.2034904723901473,0.015971837292663247,0.03484180991991592,5.383319280732947,7.815647348187229,12.740580101177327,12.548863556025777,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_and_b_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Bij;Eq.23 self term,Apply the simple-Green 1/(2*pi) normalization to all Eq. (23) A/B kernels.,closed_ellipse,cross_yz,128,1.0,0.5,0.15915494309189535,0.15915494309189535,-1.0,0.03238651455299666,0.00601608651913122,0.005545246275022814,5.383319280732947,7.815647348187229,2.0277263009606115,1.9972136651272423,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Only the normal-derivative Aij block was accidentally normalized by 1/(2*pi).,closed_ellipse,cross_yz,128,1.0,0.5,0.15915494309189535,1.0,-1.0,10.521172449396515,0.8384163555865904,1.5838852508003725,5.383319280732947,7.815647348187229,2.0277263009606115,12.548863556025777,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_b_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Only the potential Bij block was accidentally normalized by 1/(2*pi).,closed_ellipse,cross_yz,128,1.0,0.5,1.0,0.15915494309189535,-1.0,10.74340090238038,0.843242679459125,1.6132367572507256,5.383319280732947,7.815647348187229,12.740580101177327,1.9972136651272423,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
positive_eq23_self_term,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Eq.23 self term,"Use +pi instead of -pi for Eq. (23), as if alpha were interpreted like Eq. (24).",closed_ellipse,cross_yz,128,1.0,0.5,1.0,1.0,1.0,33.63005658056414,1.5641438362450897,4.739283974376112,5.383319280732947,7.815647348187229,21.500616376366654,12.548863556025777,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_a_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Reverse the Eq. (23) normal-derivative operator sign.,closed_ellipse,cross_yz,128,1.0,0.5,-1.0,1.0,-1.0,25.289351659387826,1.9849450698913542,3.80227246599668,5.383319280732947,7.815647348187229,12.740580101177327,12.548863556025777,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_b_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Reverse the Eq. (23) log-potential operator sign.,closed_ellipse,cross_yz,128,1.0,0.5,1.0,-1.0,-1.0,25.289351659387826,1.9849450698913542,3.80227246599668,5.383319280732947,7.815647348187229,12.740580101177327,12.548863556025777,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
raw_eq25_default,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,,Use A1 Eq. (25) raw log kernels and Eq. (23) alpha=1 self term -pi.,closed_ellipse,linear_y,256,1.0,0.5,1.0,1.0,-1.0,0.21369844534642943,0.008949520000781426,0.026148770192748305,11.312856597542332,9.237604307034012,23.878201884321214,23.67468269831221,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_and_b_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Bij;Eq.23 self term,Apply the simple-Green 1/(2*pi) normalization to all Eq. (23) A/B kernels.,closed_ellipse,linear_y,256,1.0,0.5,0.15915494309189535,0.15915494309189535,-1.0,0.034011163907937576,0.0030064169570863607,0.0041617060319499855,11.312856597542332,9.237604307034012,3.8003338620359313,3.76794277756856,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Only the normal-derivative Aij block was accidentally normalized by 1/(2*pi).,closed_ellipse,linear_y,256,1.0,0.5,0.15915494309189535,1.0,-1.0,19.874365841246437,0.8394776012209574,1.7552296537176144,11.312856597542332,9.237604307034012,3.8003338620359313,23.67468269831221,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_b_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Only the potential Bij block was accidentally normalized by 1/(2*pi).,closed_ellipse,linear_y,256,1.0,0.5,1.0,0.15915494309189535,-1.0,20.11027591224036,0.8422022734234889,1.7855401299423126,11.312856597542332,9.237604307034012,23.878201884321214,3.76794277756856,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
positive_eq23_self_term,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Eq.23 self term,"Use +pi instead of -pi for Eq. (23), as if alpha were interpreted like Eq. (24).",closed_ellipse,linear_y,256,1.0,0.5,1.0,1.0,1.0,70.87737508162137,1.501553168811036,6.256090348015435,11.312856597542332,9.237604307034012,47.202707538983574,23.67468269831221,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_a_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Reverse the Eq. (23) normal-derivative operator sign.,closed_ellipse,linear_y,256,1.0,0.5,-1.0,1.0,-1.0,47.552839927419534,1.9914749091154742,4.210965807041541,11.312856597542332,9.237604307034012,23.878201884321214,23.67468269831221,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_b_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Reverse the Eq. (23) log-potential operator sign.,closed_ellipse,linear_y,256,1.0,0.5,1.0,-1.0,-1.0,47.552839927419534,1.9914749091154742,4.210965807041541,11.312856597542332,9.237604307034012,23.878201884321214,23.67468269831221,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
raw_eq25_default,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,,Use A1 Eq. (25) raw log kernels and Eq. (23) alpha=1 self term -pi.,closed_ellipse,linear_z,256,1.0,0.5,1.0,1.0,-1.0,0.16135131475028724,0.0067964404768970695,0.0165264584483088,11.48891557542048,13.063945294843617,23.74056173945226,23.654584468834965,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_and_b_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Bij;Eq.23 self term,Apply the simple-Green 1/(2*pi) normalization to all Eq. (23) A/B kernels.,closed_ellipse,linear_z,256,1.0,0.5,0.15915494309189535,0.15915494309189535,-1.0,0.025679859316884546,0.0022351856577155407,0.0026302675538512205,11.48891557542048,13.063945294843617,3.778427752612153,3.7647440449998606,0.08,PASS,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_a_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Only the normal-derivative Aij block was accidentally normalized by 1/(2*pi).,closed_ellipse,linear_z,256,1.0,0.5,0.15915494309189535,1.0,-1.0,19.87623135302767,0.8402697320350186,1.7574513590523557,11.48891557542048,13.063945294843617,3.778427752612153,23.654584468834965,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
normalize_b_only_by_2pi,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Bij,Only the potential Bij block was accidentally normalized by 1/(2*pi).,closed_ellipse,linear_z,256,1.0,0.5,1.0,0.15915494309189535,-1.0,19.975891958889562,0.8414245702406216,1.7681765442959314,11.48891557542048,13.063945294843617,23.74056173945226,3.7647440449998606,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
positive_eq23_self_term,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Eq.23 self term,"Use +pi instead of -pi for Eq. (23), as if alpha were interpreted like Eq. (24).",closed_ellipse,linear_z,256,1.0,0.5,1.0,1.0,1.0,72.0394319383157,1.1289447744217098,7.057831585411394,11.48891557542048,13.063945294843617,63.81129845365301,23.654584468834965,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
reverse_a_operator,diagnostic_a1_inner_kernel_candidate_not_hard_gate,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,a1_eq23_inner_kernel_green_identity_diagnostic_not_hard_gate,Aij;Eq.23 self term,Reverse the Eq. (23) normal-derivative operator sign.,closed_ellipse,linear_z,256,1.0,0.5,-1.0,1.0,-1.0,47.394949540528195,1.9963701811556918,4.191543196467157,11.48891557542048,13.063945294843617,23.74056173945226,23.654584468834965,0.08,FAIL,diagnostic_a1_inner_kernel_green_identity_not_hard_gate,False
